Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
63,tt6874254,2018-10-14,2018-10-14,,Out of Blue,https://www.imdb.com/title/tt6874254/,movie,4.9,109,2018,"Crime, Drama, Mystery",919,2018-09-07,Carol Morley,,
64,tt0054412,2018-10-15,2018-10-15,,Tunes of Glory,https://www.imdb.com/title/tt0054412/,movie,7.5,107,1960,Drama,3187,1960-09-04,Ronald Neame,,
65,tt6386748,2018-10-17,2018-10-17,,Pájaros de verano,https://www.imdb.com/title/tt6386748/,movie,7.6,125,2018,"Crime, Drama",6914,2018-05-09,"Cristina Gallego, Ciro Guerra",,
66,tt5083738,2018-10-19,2018-10-19,,The Favourite,https://www.imdb.com/title/tt5083738/,movie,7.6,119,2018,"Biography, Drama, History",138139,2018-08-30,Yorgos Lanthimos,,
67,tt6864046,2018-10-19,2018-10-19,,Ying,https://www.imdb.com/title/tt6864046/,movie,7.0,116,2018,"Action, Drama, War",7332,2018-09-06,Yimou Zhang,,
68,tt7329810,2018-10-20,2018-10-20,,The Bill Murray Stories: Life Lessons Learned from a Mythical Man,https://www.imdb.com/title/tt7329810/,movie,7.1,70,2018,Documentary,1658,2018-03-10,Tommy Avallone,,
69,tt7125860,2018-10-21,2018-10-21,,If Beale Street Could Talk,https://www.imdb.com/title/tt7125860/,movie,7.2,119,2018,"Drama, Romance",31840,2018-09-09,Barry Jenkins,,
70,tt0125664,2018-10-27,2018-10-27,,Man on the Moon,https://www.imdb.com/title/tt0125664/,movie,7.4,118,1999,"Biography, Comedy, Drama",118628,1999-12-07,Milos Forman,,
71,tt0101272,2018-10-31,2018-10-31,,The Addams Family,https://www.imdb.com/title/tt0101272/,movie,6.9,99,1991,"Comedy, Fantasy",121556,1991-11-19,Barry Sonnenfeld,,
72,tt0026029,2018-11-11,2018-11-11,,The 39 Steps,https://www.imdb.com/title/tt0026029/,movie,7.7,86,1935,"Film-Noir, Mystery, Thriller",47945,1935-06-06,Alfred Hitchcock,,
73,tt0089218,2018-11-11,2018-11-11,,The Goonies,https://www.imdb.com/title/tt0089218/,movie,7.8,114,1985,"Adventure, Comedy, Family",224733,1985-06-07,Richard Donner,,
74,tt0080117,2018-11-13,2018-11-13,,The Wanderers,https://www.imdb.com/title/tt0080117/,movie,7.4,112,1979,Drama,9362,1979-07-04,Philip Kaufman,,
75,tt0108255,2018-11-17,2018-11-17,,Super Mario Bros.,https://www.imdb.com/title/tt0108255/,movie,4.0,104,1993,"Adventure, Comedy, Family, Fantasy, Sci-Fi",46391,1993-05-28,"Annabel Jankel, Rocky Morton",,
76,tt0465234,2018-12-02,2018-12-02,,National Treasure: Book of Secrets,https://www.imdb.com/title/tt0465234/,movie,6.5,124,2007,"Action, Adventure, Mystery, Thriller",209008,2007-12-13,Jon Turteltaub,,
77,tt6663582,2018-12-03,2018-12-03,,The Spy Who Dumped Me,https://www.imdb.com/title/tt6663582/,movie,6.0,117,2018,"Action, Adventure, Comedy",57426,2018-07-25,Susanna Fogel,,
78,tt0046912,2018-12-03,2018-12-03,,Dial M for Murder,https://www.imdb.com/title/tt0046912/,movie,8.2,105,1954,"Crime, Thriller",144714,1954-05-19,Alfred Hitchcock,,
79,tt0272018,2018-12-12,2018-12-12,,Call Me Claus,https://www.imdb.com/title/tt0272018/,tvMovie,5.4,90,2001,"Comedy, Family",2192,2001-12-02,Peter Werner,,
80,tt0099785,2018-12-12,2018-12-12,,Home Alone,https://www.imdb.com/title/tt0099785/,movie,7.6,103,1990,"Comedy, Family",419310,1990-11-10,Chris Columbus,,
81,tt5580036,2018-12-15,2018-12-15,,"I, Tonya",https://www.imdb.com/title/tt5580036/,movie,7.5,119,2017,"Biography, Comedy, Drama, Sport",152585,2017-09-08,Craig Gillespie,,
82,tt0110527,2018-12-20,2018-12-20,,Miracle on 34th Street,https://www.imdb.com/title/tt0110527/,movie,6.5,114,1994,"Family, Fantasy",29183,1994-11-18,Les Mayfield,,
83,tt1242447,2018-12-23,2018-12-23,,Nativity!,https://www.imdb.com/title/tt1242447/,movie,6.4,105,2009,"Comedy, Family",6766,2009-11-27,Debbie Isitt,,
84,tt0099685,2018-12-26,2018-12-26,,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",938121,1990-09-09,Martin Scorsese,,
85,tt1596363,2018-12-29,2018-12-29,,The Big Short,https://www.imdb.com/title/tt1596363/,movie,7.8,130,2015,"Biography, Comedy, Drama, History",322882,2015-11-12,Adam McKay,,
86,tt0082694,2018-12-29,2018-12-29,,Mad Max 2,https://www.imdb.com/title/tt0082694/,movie,7.6,96,1981,"Action, Adventure, Sci-Fi, Thriller",157920,1981-12-24,George Miller,,
87,tt4468740,2018-12-30,2018-12-30,,Paddington 2,https://www.imdb.com/title/tt4468740/,movie,7.8,103,2017,"Adventure, Comedy, Family, Fantasy",50091,2017-11-05,Paul King,,
88,tt0098635,2018-12-31,2018-12-31,,When Harry Met Sally...,https://www.imdb.com/title/tt0098635/,movie,7.6,95,1989,"Comedy, Drama, Romance",181925,1989-07-12,Rob Reiner,,
