Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1915581,2018-01-06,2018-01-06,,Magic Mike,https://www.imdb.com/title/tt1915581/,movie,6.1,110,2012,"Comedy, Drama",125841,2012-06-24,Steven Soderbergh,,
2,tt5439796,2018-01-11,2018-01-11,,Logan Lucky,https://www.imdb.com/title/tt5439796/,movie,7.0,118,2017,"Comedy, Crime, Drama",111513,2017-08-07,Steven Soderbergh,,
3,tt2250912,2018-01-18,2018-01-18,,Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/,movie,7.4,133,2017,"Action, Adventure, Sci-Fi",462583,2017-06-28,Jon Watts,,
4,tt0052713,2018-01-21,2018-01-21,,The Crimson Kimono,https://www.imdb.com/title/tt0052713/,movie,6.9,82,1959,"Crime, Drama, Mystery, Romance, Thriller",1800,1959-08-21,Samuel Fuller,,
5,tt0070723,2018-01-26,2018-01-26,,Soylent Green,https://www.imdb.com/title/tt0070723/,movie,7.1,97,1973,"Crime, Mystery, Sci-Fi, Thriller",53697,1973-04-18,Richard Fleischer,,
6,tt0095631,2018-01-27,2018-01-27,,Midnight Run,https://www.imdb.com/title/tt0095631/,movie,7.5,126,1988,"Action, Comedy, Crime, Thriller",66490,1988-07-11,Martin Brest,,
7,tt0204946,2018-02-08,2018-02-08,,Bring It On,https://www.imdb.com/title/tt0204946/,movie,6.0,98,2000,"Comedy, Romance, Sport",82724,2000-08-22,Peyton Reed,,
8,tt0106677,2018-02-09,2018-02-09,,Dazed and Confused,https://www.imdb.com/title/tt0106677/,movie,7.6,102,1993,Comedy,151207,1993-06-04,Richard Linklater,,
9,tt1211956,2018-02-09,2018-02-09,,Escape Plan,https://www.imdb.com/title/tt1211956/,movie,6.7,115,2013,"Action, Thriller",216585,2013-07-18,Mikael Håfström,,
10,tt0112697,2018-02-14,2018-02-14,,Clueless,https://www.imdb.com/title/tt0112697/,movie,6.8,97,1995,"Comedy, Romance",162400,1995-07-07,Amy Heckerling,,
11,tt5776858,2018-02-15,2018-02-15,,Phantom Thread,https://www.imdb.com/title/tt5776858/,movie,7.5,130,2017,"Drama, Romance",92349,2017-11-24,Paul Thomas Anderson,,
12,tt0083190,2018-02-17,2018-02-17,,Thief,https://www.imdb.com/title/tt0083190/,movie,7.4,123,1981,"Action, Crime, Drama, Thriller",22520,1981-03-27,Michael Mann,,
13,tt1825683,2018-02-19,2018-02-19,,Black Panther,https://www.imdb.com/title/tt1825683/,movie,7.3,134,2018,"Action, Adventure, Sci-Fi",553997,2018-01-29,Ryan Coogler,,
14,tt0103074,2018-02-21,2018-02-21,,Thelma & Louise,https://www.imdb.com/title/tt0103074/,movie,7.5,130,1991,"Adventure, Crime, Drama",125629,1991-05-20,Ridley Scott,,
15,tt0451279,2018-02-21,2018-02-21,,Wonder Woman,https://www.imdb.com/title/tt0451279/,movie,7.4,141,2017,"Action, Adventure, Fantasy, Sci-Fi, War",508818,2017-05-15,Patty Jenkins,,
16,tt0167190,2018-03-04,2018-03-04,,Hellboy,https://www.imdb.com/title/tt0167190/,movie,6.8,122,2004,"Action, Adventure, Fantasy, Horror, Sci-Fi",295717,2004-03-30,Guillermo del Toro,,
17,tt2570858,2018-03-07,2018-03-07,,The Duke of Burgundy,https://www.imdb.com/title/tt2570858/,movie,6.6,104,2014,"Drama, Mystery, Romance",10831,2014-09-06,Peter Strickland,,
18,tt0102685,2018-03-08,2018-03-08,,Point Break,https://www.imdb.com/title/tt0102685/,movie,7.3,122,1991,"Action, Crime, Thriller",144411,1991-07-10,Kathryn Bigelow,,
19,tt0114781,2018-03-09,2018-03-09,,Under Siege 2: Dark Territory,https://www.imdb.com/title/tt0114781/,movie,5.5,100,1995,"Action, Thriller",41812,1995-07-14,Geoff Murphy,,
20,tt5580390,2018-03-11,2018-03-11,,The Shape of Water,https://www.imdb.com/title/tt5580390/,movie,7.3,123,2017,"Adventure, Drama, Fantasy, Romance, Thriller",328755,2017-08-31,Guillermo del Toro,,
21,tt2798920,2018-03-17,2018-03-17,,Annihilation,https://www.imdb.com/title/tt2798920/,movie,6.9,115,2018,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",245924,2018-02-13,Alex Garland,,
22,tt4995790,2018-03-25,2018-03-25,,The Square,https://www.imdb.com/title/tt4995790/,movie,7.2,151,2017,"Comedy, Drama",46857,2017-05-20,Ruben Östlund,,
23,tt1157605,2018-03-29,2018-03-29,,Anvil: The Story of Anvil,https://www.imdb.com/title/tt1157605/,movie,7.9,80,2008,"Documentary, Biography, Drama, Music",15160,2008-01-18,Sacha Gervasi,,
24,tt0106332,2018-03-30,2018-03-30,,Ba wang bie ji,https://www.imdb.com/title/tt0106332/,movie,8.1,171,1993,"Drama, Music, Romance",22904,1993-01-01,Kaige Chen,,
25,tt5104604,2018-04-04,2018-04-04,,Isle of Dogs,https://www.imdb.com/title/tt5104604/,movie,7.9,101,2018,"Animation, Adventure, Comedy, Drama, Fantasy, Sci-Fi",118289,2018-02-15,Wes Anderson,,
26,tt2273657,2018-04-19,2018-04-19,,True Story,https://www.imdb.com/title/tt2273657/,movie,6.3,99,2015,"Crime, Drama, Mystery, Thriller",56344,2015-01-23,Rupert Goold,,
27,tt0102227,2018-04-25,2018-04-25,,Knight Rider 2000,https://www.imdb.com/title/tt0102227/,tvMovie,4.7,95,1991,"Action, Sci-Fi",2451,1991-05-19,Alan J. Levi,,
28,tt1600196,2018-05-03,2018-05-03,,The Drop,https://www.imdb.com/title/tt1600196/,movie,7.1,106,2014,"Crime, Drama",135235,2014-09-05,Michaël R. Roskam,,
29,tt2872732,2018-05-03,2018-05-03,,Lucy,https://www.imdb.com/title/tt2872732/,movie,6.4,89,2014,"Action, Sci-Fi, Thriller",413001,2014-07-25,Luc Besson,,
30,tt0203019,2018-05-03,2018-05-03,,Men of Honor,https://www.imdb.com/title/tt0203019/,movie,7.2,129,2000,"Biography, Drama",102550,2000-09-14,George Tillman Jr.,,
31,tt0025878,2018-05-03,2018-05-03,,The Thin Man,https://www.imdb.com/title/tt0025878/,movie,8.0,91,1934,"Comedy, Crime, Mystery",24689,1934-05-25,W.S. Van Dyke,,
32,tt0190332,2018-05-12,2018-05-12,,Wo hu cang long,https://www.imdb.com/title/tt0190332/,movie,7.8,120,2000,"Action, Adventure, Fantasy, Romance",243498,2000-05-18,Ang Lee,,
33,tt4154756,2018-05-16,2018-05-16,,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,movie,8.5,149,2018,"Action, Adventure, Sci-Fi",729658,2018-04-23,"Anthony Russo, Joe Russo",,
34,tt0993846,2018-05-27,2018-05-27,,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,movie,8.2,180,2013,"Biography, Crime, Drama",1073472,2013-12-17,Martin Scorsese,,
35,tt1661275,2018-06-03,2018-06-03,,Their Finest,https://www.imdb.com/title/tt1661275/,movie,6.8,117,2016,"Comedy, Drama, Romance, War",15915,2016-09-11,Lone Scherfig,,
36,tt0432283,2018-06-09,2018-06-09,,Fantastic Mr. Fox,https://www.imdb.com/title/tt0432283/,movie,7.8,87,2009,"Animation, Adventure, Comedy, Crime, Drama, Family",181843,2009-10-14,Wes Anderson,,
37,tt0098439,2018-06-19,2018-06-19,,Tango & Cash,https://www.imdb.com/title/tt0098439/,movie,6.4,104,1989,"Action, Comedy, Crime, Thriller",90799,1989-12-22,"Andrey Konchalovskiy, Albert Magnoli",,
38,tt0061418,2018-06-19,2018-06-19,,Bonnie and Clyde,https://www.imdb.com/title/tt0061418/,movie,7.8,111,1967,"Action, Biography, Crime, Drama",96499,1967-08-04,Arthur Penn,,
39,tt1289401,2018-06-23,2018-06-23,,Ghostbusters,https://www.imdb.com/title/tt1289401/,movie,5.2,116,2016,"Action, Comedy, Fantasy, Sci-Fi",192522,2016-07-09,Paul Feig,,
40,tt3892172,2018-07-06,2018-07-06,,Leave No Trace,https://www.imdb.com/title/tt3892172/,movie,7.2,109,2018,Drama,38775,2018-01-20,Debra Granik,,
41,tt0024184,2018-07-10,2018-07-10,,The Invisible Man,https://www.imdb.com/title/tt0024184/,movie,7.7,71,1933,"Horror, Sci-Fi",27238,1933-11-03,James Whale,,
42,tt0104868,2018-07-12,2018-07-12,,The Mighty Ducks,https://www.imdb.com/title/tt0104868/,movie,6.5,100,1992,"Comedy, Drama, Family, Sport",54366,1992-09-20,Stephen Herek,,
43,tt0059043,2018-07-14,2018-07-14,,The Collector,https://www.imdb.com/title/tt0059043/,movie,7.6,119,1965,"Drama, Thriller",8892,1965-05-20,William Wyler,,
44,tt0163025,2018-07-18,2018-07-18,,Jurassic Park III,https://www.imdb.com/title/tt0163025/,movie,5.9,92,2001,"Action, Adventure, Sci-Fi, Thriller",281392,2001-07-16,Joe Johnston,,
45,tt0091203,2018-07-21,2018-07-21,,Highlander,https://www.imdb.com/title/tt0091203/,movie,7.1,116,1986,"Action, Adventure, Fantasy",115275,1986-01-31,Russell Mulcahy,,
46,tt0042530,2018-07-25,2018-07-25,,Gun Crazy,https://www.imdb.com/title/tt0042530/,movie,7.6,87,1950,"Crime, Drama, Film-Noir, Romance, Thriller",10448,1950-01-20,Joseph H. Lewis,,
47,tt5095030,2018-08-04,2018-08-04,,Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/,movie,7.1,118,2018,"Action, Adventure, Comedy, Sci-Fi",268749,2018-06-25,Peyton Reed,,
48,tt0104070,2018-08-10,2018-08-10,,Death Becomes Her,https://www.imdb.com/title/tt0104070/,movie,6.6,104,1992,"Comedy, Fantasy, Horror",96407,1992-07-13,Robert Zemeckis,,
49,tt0808357,2018-08-11,2018-08-11,,"Se, jie",https://www.imdb.com/title/tt0808357/,movie,7.5,157,2007,"Drama, History, Romance, Thriller, War",35277,2007-08-30,Ang Lee,,
50,tt0103855,2018-08-17,2018-08-17,,The Bodyguard,https://www.imdb.com/title/tt0103855/,movie,6.3,129,1992,"Drama, Music, Romance, Thriller",111025,1992-11-25,Mick Jackson,,
51,tt0039881,2018-08-29,2018-08-29,,T-Men,https://www.imdb.com/title/tt0039881/,movie,7.0,92,1947,"Crime, Film-Noir, Thriller",2836,1947-12-25,Anthony Mann,,
52,tt3104988,2018-09-05,2018-09-05,,Crazy Rich Asians,https://www.imdb.com/title/tt3104988/,movie,6.9,120,2018,"Comedy, Drama, Romance",113566,2018-08-07,Jon M. Chu,,
53,tt0034240,2018-09-08,2018-09-08,,Sullivan's Travels,https://www.imdb.com/title/tt0034240/,movie,8.0,90,1941,"Adventure, Comedy, Drama, Romance",22340,1941-12-05,Preston Sturges,,
54,tt0036342,2018-09-14,2018-09-14,,Shadow of a Doubt,https://www.imdb.com/title/tt0036342/,movie,7.9,108,1943,Thriller,55271,1943-01-12,Alfred Hitchcock,,
55,tt0076740,2018-09-15,2018-09-15,,Sorcerer,https://www.imdb.com/title/tt0076740/,movie,7.7,121,1977,"Adventure, Drama, Thriller",15634,1977-06-24,William Friedkin,,
56,tt6212478,2018-10-01,2018-10-01,,American Animals,https://www.imdb.com/title/tt6212478/,movie,7.0,116,2018,"Biography, Crime, Drama, Thriller",32390,2018-01-19,Bart Layton,,
57,tt0822854,2018-10-04,2018-10-04,,Shooter,https://www.imdb.com/title/tt0822854/,movie,7.2,124,2007,"Action, Drama, Thriller",296750,2007-03-08,Antoine Fuqua,,
58,tt3778644,2018-10-07,2018-10-07,,Solo: A Star Wars Story,https://www.imdb.com/title/tt3778644/,movie,6.9,135,2018,"Action, Adventure, Sci-Fi",245305,2018-05-10,Ron Howard,,
59,tt0043014,2018-10-07,2018-10-07,,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,movie,8.4,110,1950,"Drama, Film-Noir",185338,1950-08-10,Billy Wilder,,
60,tt2873282,2018-10-07,2018-10-07,,Red Sparrow,https://www.imdb.com/title/tt2873282/,movie,6.6,140,2018,"Action, Drama, Thriller",146667,2018-02-19,Francis Lawrence,,
61,tt4218572,2018-10-12,2018-10-12,,Widows,https://www.imdb.com/title/tt4218572/,movie,6.9,129,2018,"Crime, Drama, Thriller",73516,2018-09-08,Steve McQueen,,
62,tt8286894,2018-10-13,2018-10-13,,Rafiki,https://www.imdb.com/title/tt8286894/,movie,6.5,83,2018,"Drama, Romance",1321,2018-05-09,Wanuri Kahiu,,
