Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt5688932,2019-01-06,2019-01-06,,Sorry to Bother You,https://www.imdb.com/title/tt5688932/,movie,6.9,112,2018,"Comedy, Fantasy, Sci-Fi",48671,2018-01-20,Boots Riley,,
2,tt7137380,2019-01-08,2019-01-08,,Destroyer,https://www.imdb.com/title/tt7137380/,movie,6.2,121,2018,"Action, Crime, Drama, Mystery, Thriller",19967,2018-08-31,Karyn Kusama,,
3,tt0065207,2019-02-04,2019-02-04,,Where Eagles Dare,https://www.imdb.com/title/tt0065207/,movie,7.7,158,1968,"Action, Adventure, War",48596,1968-12-21,Brian G. Hutton,,
4,tt4912910,2019-02-04,2019-02-04,,Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/,movie,7.8,147,2018,"Action, Adventure, Thriller",254618,2018-07-12,Christopher McQuarrie,,
5,tt0093565,2019-02-08,2019-02-08,,Moonstruck,https://www.imdb.com/title/tt0093565/,movie,7.1,102,1987,"Comedy, Drama, Romance",45231,1987-12-01,Norman Jewison,,
6,tt0119978,2019-02-09,2019-02-09,,The Rainmaker,https://www.imdb.com/title/tt0119978/,movie,7.2,135,1997,"Crime, Drama, Thriller",58073,1997-11-18,Francis Ford Coppola,,
7,tt4595882,2019-02-14,2019-02-14,,Can You Ever Forgive Me?,https://www.imdb.com/title/tt4595882/,movie,7.1,106,2018,"Biography, Comedy, Crime, Drama",37521,2018-09-01,Marielle Heller,,
8,tt0078748,2019-03-02,2019-03-02,,Alien,https://www.imdb.com/title/tt0078748/,movie,8.4,117,1979,"Horror, Sci-Fi",736389,1979-05-25,Ridley Scott,,
9,tt1229238,2019-03-08,2019-03-08,,Mission: Impossible - Ghost Protocol,https://www.imdb.com/title/tt1229238/,movie,7.4,132,2011,"Action, Adventure, Thriller",436626,2011-12-07,Brad Bird,,
10,tt4154664,2019-03-28,2019-03-28,,Captain Marvel,https://www.imdb.com/title/tt4154664/,movie,6.9,123,2019,"Action, Adventure, Sci-Fi",381605,2019-02-27,"Anna Boden, Ryan Fleck",,
11,tt4425200,2019-03-29,2019-03-29,,John Wick: Chapter 2,https://www.imdb.com/title/tt4425200/,movie,7.5,122,2017,"Action, Crime, Thriller",323862,2017-01-30,Chad Stahelski,,
12,tt3385524,2019-04-06,2019-04-06,,Stan & Ollie,https://www.imdb.com/title/tt3385524/,movie,7.2,98,2018,"Biography, Comedy, Drama, History",24607,2018-10-21,Jon S. Baird,,
13,tt0071853,2019-04-14,2019-04-14,,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/,movie,8.2,91,1975,"Adventure, Comedy, Fantasy",473746,1975-03-14,"Terry Jones, Terry Gilliam",,
14,tt0113243,2019-04-20,2019-04-20,,Hackers,https://www.imdb.com/title/tt0113243/,movie,6.2,105,1995,"Comedy, Crime, Drama, Thriller",62682,1995-09-15,Iain Softley,,
15,tt0112857,2019-04-26,2019-04-26,,Devil in a Blue Dress,https://www.imdb.com/title/tt0112857/,movie,6.7,102,1995,"Crime, Drama, Mystery, Thriller",16385,1995-09-16,Carl Franklin,,
16,tt4154796,2019-04-27,2019-04-27,,Avengers: Endgame,https://www.imdb.com/title/tt4154796/,movie,8.5,181,2019,"Action, Adventure, Drama, Sci-Fi",620774,2019-04-22,"Anthony Russo, Joe Russo",,
17,tt0083702,2019-05-06,2019-05-06,,Burden of Dreams,https://www.imdb.com/title/tt0083702/,movie,7.9,95,1982,Documentary,5843,1982-05-30,Les Blank,,
18,tt0105151,2019-05-19,2019-05-19,,The Player,https://www.imdb.com/title/tt0105151/,movie,7.5,124,1992,"Comedy, Crime, Drama, Thriller",50722,1992-04-03,Robert Altman,,
19,tt0102798,2019-05-29,2019-05-29,,Robin Hood: Prince of Thieves,https://www.imdb.com/title/tt0102798/,movie,6.9,143,1991,"Action, Adventure, Drama, Romance",169661,1991-06-14,Kevin Reynolds,,
20,tt0020697,2019-06-08,2019-06-08,,Der blaue Engel,https://www.imdb.com/title/tt0020697/,movie,7.7,104,1930,"Drama, Music",12773,1930-04-01,Josef von Sternberg,,
21,tt3890160,2019-06-08,2019-06-08,,Baby Driver,https://www.imdb.com/title/tt3890160/,movie,7.6,113,2017,"Action, Crime, Drama, Music, Thriller",389677,2017-03-11,Edgar Wright,,
22,tt6811018,2019-06-18,2019-06-18,,The Kid Who Would Be King,https://www.imdb.com/title/tt6811018/,movie,6.0,120,2019,"Action, Adventure, Family, Fantasy",11455,2019-01-16,Joe Cornish,,
23,tt0044079,2019-06-22,2019-06-22,,Strangers on a Train,https://www.imdb.com/title/tt0044079/,movie,8.0,101,1951,"Crime, Film-Noir, Thriller",116752,1951-06-30,Alfred Hitchcock,,
24,tt6266538,2019-06-22,2019-06-22,,Vice,https://www.imdb.com/title/tt6266538/,movie,7.2,132,2018,"Biography, Comedy, Drama",94938,2018-12-12,Adam McKay,,
25,tt6628394,2019-06-22,2019-06-22,,Bad Times at the El Royale,https://www.imdb.com/title/tt6628394/,movie,7.1,141,2018,"Crime, Drama, Mystery, Thriller",107577,2018-09-22,Drew Goddard,,
26,tt4157220,2019-06-22,2019-06-22,,Iris,https://www.imdb.com/title/tt4157220/,movie,7.2,79,2014,"Documentary, Biography, History",4004,2014-10-09,Albert Maysles,,
27,tt0022100,2019-06-26,2019-06-26,,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,movie,8.3,117,1931,"Crime, Mystery, Thriller",132624,1931-05-11,Fritz Lang,,
28,tt0071524,2019-07-04,2019-07-04,,The Front Page,https://www.imdb.com/title/tt0071524/,movie,7.3,105,1974,"Comedy, Drama, Romance",11422,1974-12-18,Billy Wilder,,
29,tt0038991,2019-07-06,2019-07-06,,The Stranger,https://www.imdb.com/title/tt0038991/,movie,7.4,95,1946,"Crime, Drama, Film-Noir, Mystery, Thriller",20569,1946-07-02,Orson Welles,,
30,tt7738450,2019-07-08,2019-07-08,,Thunder Road,https://www.imdb.com/title/tt7738450/,movie,7.1,92,2018,"Comedy, Drama",10069,2018-03-12,Jim Cummings,,
31,tt6343314,2019-07-08,2019-07-08,,Creed II,https://www.imdb.com/title/tt6343314/,movie,7.2,130,2018,"Drama, Sport",87973,2018-11-14,Steven Caple Jr.,,
32,tt0985699,2019-07-08,2019-07-08,,Valkyrie,https://www.imdb.com/title/tt0985699/,movie,7.1,121,2008,"Drama, History, Thriller, War",217858,2008-12-25,Bryan Singer,,
33,tt0126886,2019-07-24,2019-07-24,,Election,https://www.imdb.com/title/tt0126886/,movie,7.2,103,1999,"Comedy, Drama, Romance",84902,1999-04-23,Alexander Payne,,
34,tt0087544,2019-08-09,2019-08-09,,Kaze no tani no Naushika,https://www.imdb.com/title/tt0087544/,movie,8.1,117,1984,"Animation, Adventure, Fantasy, Sci-Fi",132488,1984-03-11,Hayao Miyazaki,,
35,tt0041959,2019-08-12,2019-08-12,,The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.1,104,1949,"Film-Noir, Mystery, Thriller",149221,1949-05-31,Carol Reed,,
36,tt6920356,2019-09-06,2019-09-06,,The Souvenir,https://www.imdb.com/title/tt6920356/,movie,6.5,120,2019,"Drama, Mystery, Romance",4405,2019-01-27,Joanna Hogg,,
