Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt3152624,2016-01-17,2016-01-17,,Trainwreck,https://www.imdb.com/title/tt3152624/,movie,6.2,125,2015,"Comedy, Drama, Romance",124082,2015-07-10,Judd Apatow,,
2,tt3076658,2016-01-17,2016-01-17,,Creed,https://www.imdb.com/title/tt3076658/,movie,7.6,133,2015,"Drama, Sport",232048,2015-11-19,Ryan Coogler,,
3,tt0478970,2016-01-17,2016-01-17,,Ant-Man,https://www.imdb.com/title/tt0478970/,movie,7.3,117,2015,"Action, Adventure, Comedy, Sci-Fi",525454,2015-06-29,Peyton Reed,,
4,tt1895587,2016-01-17,2016-01-17,,Spotlight,https://www.imdb.com/title/tt1895587/,movie,8.1,129,2015,"Biography, Crime, Drama",379743,2015-09-03,Tom McCarthy,,
5,tt1596363,2016-01-17,2016-01-17,,The Big Short,https://www.imdb.com/title/tt1596363/,movie,7.8,130,2015,"Biography, Comedy, Drama, History",322882,2015-11-12,Adam McKay,,
6,tt3312830,2016-01-23,2016-01-23,,Youth,https://www.imdb.com/title/tt3312830/,movie,7.3,124,2015,"Comedy, Drama, Music, Romance",66371,2015-05-20,Paolo Sorrentino,,
7,tt1663202,2016-01-28,2016-01-28,,The Revenant,https://www.imdb.com/title/tt1663202/,movie,8.0,156,2015,"Action, Adventure, Biography, Drama, History, Western",645650,2015-12-16,Alejandro G. Iñárritu,,
8,tt3569230,2016-01-30,2016-01-30,,Legend,https://www.imdb.com/title/tt3569230/,movie,6.9,132,2015,"Biography, Crime, Drama, Thriller",144139,2015-09-03,Brian Helgeland,,
9,tt0042593,2016-02-21,2016-02-21,,In a Lonely Place,https://www.imdb.com/title/tt0042593/,movie,8.0,94,1950,"Drama, Film-Noir, Mystery, Romance, Thriller",23262,1950-05-17,Nicholas Ray,,
10,tt0033804,2016-02-21,2016-02-21,,The Lady Eve,https://www.imdb.com/title/tt0033804/,movie,7.8,94,1941,"Comedy, Romance",17747,1941-02-25,Preston Sturges,,
