Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
11,tt0069097,2016-02-23,2016-02-23,,"Play It Again, Sam",https://www.imdb.com/title/tt0069097/,movie,7.6,85,1972,"Comedy, Romance",23377,1972-05-04,Herbert Ross,,
12,tt0035432,2016-02-25,2016-02-25,,This Gun for Hire,https://www.imdb.com/title/tt0035432/,movie,7.5,81,1942,"Crime, Drama, Film-Noir, Thriller",7716,1942-04-24,Frank Tuttle,,
13,tt0475290,2016-03-06,2016-03-06,,"Hail, Caesar!",https://www.imdb.com/title/tt0475290/,movie,6.3,106,2016,"Comedy, Drama, Music, Mystery",114617,2016-02-01,"Ethan Coen, Joel Coen",,
14,tt0190590,2016-03-06,2016-03-06,,"O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590/,movie,7.7,107,2000,"Adventure, Comedy, Crime, Music",269968,2000-05-13,"Ethan Coen, Joel Coen",,
15,tt0090728,2016-03-06,2016-03-06,,Big Trouble in Little China,https://www.imdb.com/title/tt0090728/,movie,7.3,99,1986,"Action, Adventure, Comedy, Fantasy",115911,1986-07-02,John Carpenter,,
16,tt1355683,2016-03-13,2016-03-13,,Black Mass,https://www.imdb.com/title/tt1355683/,movie,6.9,123,2015,"Biography, Crime, Drama",159180,2015-09-04,Scott Cooper,,
17,tt0028231,2016-03-13,2016-03-13,,Secret Agent,https://www.imdb.com/title/tt0028231/,movie,6.5,86,1936,"Mystery, Thriller",7296,1936-05-31,Alfred Hitchcock,,
18,tt0233469,2016-03-26,2016-03-26,,Collateral Damage,https://www.imdb.com/title/tt0233469/,movie,5.5,108,2002,"Action, Drama, Thriller",69573,2002-02-04,Andrew Davis,,
19,tt0086960,2016-03-27,2016-03-27,,Beverly Hills Cop,https://www.imdb.com/title/tt0086960/,movie,7.3,105,1984,"Action, Comedy, Crime, Thriller",152305,1984-12-01,Martin Brest,,
20,tt0092644,2016-04-03,2016-04-03,,Beverly Hills Cop II,https://www.imdb.com/title/tt0092644/,movie,6.5,100,1987,"Action, Comedy, Crime, Thriller",100688,1987-05-19,Tony Scott,,
21,tt2056771,2016-04-03,2016-04-03,,A Bigger Splash,https://www.imdb.com/title/tt2056771/,movie,6.4,125,2015,"Drama, Thriller",24414,2015-09-06,Luca Guadagnino,,
22,tt0045891,2016-04-12,2016-04-12,,How to Marry a Millionaire,https://www.imdb.com/title/tt0045891/,movie,6.9,95,1953,"Comedy, Drama, Romance",19243,1953-11-04,Jean Negulesco,,
23,tt0075686,2016-04-13,2016-04-13,,Annie Hall,https://www.imdb.com/title/tt0075686/,movie,8.0,93,1977,"Comedy, Romance",240540,1977-03-27,Woody Allen,,
24,tt4010918,2016-04-22,2016-04-22,,Sado,https://www.imdb.com/title/tt4010918/,movie,7.0,125,2015,"Drama, History",1693,2015-09-16,Joon-ik Lee,,
25,tt0057076,2016-05-02,2016-05-02,,From Russia with Love,https://www.imdb.com/title/tt0057076/,movie,7.4,115,1963,"Action, Adventure, Thriller",108698,1963-10-10,Terence Young,,
26,tt0061735,2016-05-02,2016-05-02,,Guess Who's Coming to Dinner,https://www.imdb.com/title/tt0061735/,movie,7.8,108,1967,"Comedy, Drama",36062,1967-12-11,Stanley Kramer,,
27,tt0116213,2016-05-07,2016-05-07,,Eraser,https://www.imdb.com/title/tt0116213/,movie,6.1,115,1996,"Action, Drama, Thriller",98955,1996-06-11,Chuck Russell,,
28,tt0145046,2016-05-08,2016-05-08,,Little Dieter Needs to Fly,https://www.imdb.com/title/tt0145046/,movie,8.0,80,1997,"Documentary, Biography, Drama, War",5391,1997-08-29,Werner Herzog,,
29,tt0075968,2016-05-15,2016-05-15,,The Duellists,https://www.imdb.com/title/tt0075968/,movie,7.4,100,1977,"Drama, War",18094,1977-05-22,Ridley Scott,,
30,tt0062138,2016-05-29,2016-05-29,,Point Blank,https://www.imdb.com/title/tt0062138/,movie,7.4,92,1967,"Crime, Drama, Thriller",17129,1967-08-30,John Boorman,,
31,tt3385516,2016-06-05,2016-06-05,,X-Men: Apocalypse,https://www.imdb.com/title/tt3385516/,movie,6.9,144,2016,"Action, Adventure, Sci-Fi",369854,2016-05-09,Bryan Singer,,
32,tt3799694,2016-06-05,2016-06-05,,The Nice Guys,https://www.imdb.com/title/tt3799694/,movie,7.4,116,2016,"Action, Comedy, Crime, Mystery, Thriller",250579,2016-05-10,Shane Black,,
33,tt1431045,2016-06-14,2016-06-14,,Deadpool,https://www.imdb.com/title/tt1431045/,movie,8.0,108,2016,"Action, Adventure, Comedy, Sci-Fi",848133,2016-01-21,Tim Miller,,
34,tt1340138,2016-06-19,2016-06-19,,Terminator Genisys,https://www.imdb.com/title/tt1340138/,movie,6.4,126,2015,"Action, Adventure, Sci-Fi",244572,2015-06-21,Alan Taylor,,
35,tt2446980,2016-07-01,2016-07-01,,Joy,https://www.imdb.com/title/tt2446980/,movie,6.6,124,2015,Drama,120881,2015-12-13,David O. Russell,,
36,tt0107290,2016-07-01,2016-07-01,,Jurassic Park,https://www.imdb.com/title/tt0107290/,movie,8.1,127,1993,"Action, Adventure, Sci-Fi, Thriller",804665,1993-06-09,Steven Spielberg,,
37,tt0057012,2016-07-03,2016-07-03,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,424931,1964-01-29,Stanley Kubrick,,
38,tt0091538,2016-07-09,2016-07-09,,Mona Lisa,https://www.imdb.com/title/tt0091538/,movie,7.3,104,1986,"Crime, Drama, Romance",12164,1986-06-13,Neil Jordan,,
39,tt0082971,2016-07-16,2016-07-16,,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,movie,8.4,115,1981,"Action, Adventure",832511,1981-06-12,Steven Spielberg,,
40,tt0043338,2016-07-16,2016-07-16,,Ace in the Hole,https://www.imdb.com/title/tt0043338/,movie,8.2,111,1951,"Drama, Film-Noir",26305,1951-06-14,Billy Wilder,,
41,tt2057392,2016-07-17,2016-07-17,,Eye in the Sky,https://www.imdb.com/title/tt2057392/,movie,7.3,102,2015,"Drama, Thriller, War",74115,2015-09-11,Gavin Hood,,
42,tt1712261,2016-07-17,2016-07-17,,Triple 9,https://www.imdb.com/title/tt1712261/,movie,6.3,115,2016,"Crime, Thriller",61863,2016-02-16,John Hillcoat,,
43,tt0099703,2016-07-31,2016-07-31,,The Grifters,https://www.imdb.com/title/tt0099703/,movie,6.9,110,1990,"Crime, Drama, Thriller",24054,1990-09-14,Stephen Frears,,
44,tt0076666,2016-07-25,2016-07-25,,Saturday Night Fever,https://www.imdb.com/title/tt0076666/,movie,6.8,118,1977,"Drama, Music",65845,1977-12-12,John Badham,,
45,tt0040636,2016-07-31,2016-07-31,,The Naked City,https://www.imdb.com/title/tt0040636/,movie,7.6,96,1948,"Crime, Drama, Film-Noir, Mystery, Thriller",11034,1948-03-03,Jules Dassin,,
46,tt4285496,2016-08-03,2016-08-03,,El abrazo de la serpiente,https://www.imdb.com/title/tt4285496/,movie,7.9,125,2015,"Adventure, Drama",18296,2015-05-15,Ciro Guerra,,
47,tt3416742,2016-08-06,2016-08-06,,What We Do in the Shadows,https://www.imdb.com/title/tt3416742/,movie,7.7,86,2014,"Comedy, Horror",133868,2014-01-19,"Jemaine Clement, Taika Waititi",,
48,tt1618442,2016-08-07,2016-08-07,,The Last Witch Hunter,https://www.imdb.com/title/tt1618442/,movie,6.0,106,2015,"Action, Adventure, Fantasy",88863,2015-10-13,Breck Eisner,,
49,tt0095016,2016-08-15,2016-08-15,,Die Hard,https://www.imdb.com/title/tt0095016/,movie,8.2,132,1988,"Action, Thriller",736989,1988-07-12,John McTiernan,,
50,tt0071853,2016-08-15,2016-08-15,,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/,movie,8.2,91,1975,"Adventure, Comedy, Fantasy",473235,1975-03-14,"Terry Jones, Terry Gilliam",,
51,tt0091042,2016-08-19,2016-08-19,,Ferris Bueller's Day Off,https://www.imdb.com/title/tt0091042/,movie,7.8,103,1986,Comedy,296942,1986-06-11,John Hughes,,
52,tt0372183,2016-08-20,2016-08-20,,The Bourne Supremacy,https://www.imdb.com/title/tt0372183/,movie,7.7,108,2004,"Action, Mystery, Thriller",414066,2004-07-16,Paul Greengrass,,
53,tt0072684,2016-08-28,2016-08-28,,Barry Lyndon,https://www.imdb.com/title/tt0072684/,movie,8.1,185,1975,"Adventure, Drama, History, War",136881,1975-12-11,Stanley Kubrick,,
54,tt0060665,2016-08-28,2016-08-28,,A Man for All Seasons,https://www.imdb.com/title/tt0060665/,movie,7.7,120,1966,"Biography, Drama, History",28884,1966-12-12,Fred Zinnemann,,
55,tt0077269,2016-08-31,2016-08-31,,The Boys from Brazil,https://www.imdb.com/title/tt0077269/,movie,7.0,125,1978,"Drama, Thriller",23997,1978-08-19,Franklin J. Schaffner,,
56,tt0046438,2016-09-03,2016-09-03,,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,movie,8.2,136,1953,Drama,45906,1953-11-03,Yasujirô Ozu,,
57,tt3068194,2016-09-15,2016-09-15,,Love & Friendship,https://www.imdb.com/title/tt3068194/,movie,6.4,90,2016,"Comedy, Drama, Romance",21662,2016-01-23,Whit Stillman,,
58,tt0082158,2016-09-15,2016-09-15,,Chariots of Fire,https://www.imdb.com/title/tt0082158/,movie,7.2,125,1981,"Biography, Drama, Sport",50524,1981-03-30,Hugh Hudson,,
59,tt0063850,2016-09-21,2016-09-21,,If....,https://www.imdb.com/title/tt0063850/,movie,7.6,111,1968,"Crime, Drama",20659,1968-12-19,Lindsay Anderson,,
60,tt0074256,2016-09-22,2016-09-22,,Bugsy Malone,https://www.imdb.com/title/tt0074256/,movie,6.9,93,1976,"Comedy, Crime, Family, Musical",14920,1976-05-31,Alan Parker,,
61,tt0063374,2016-09-25,2016-09-25,,The Odd Couple,https://www.imdb.com/title/tt0063374/,movie,7.7,105,1968,Comedy,29747,1968-05-02,Gene Saks,,
62,tt0039192,2016-10-02,2016-10-02,,Black Narcissus,https://www.imdb.com/title/tt0039192/,movie,7.8,101,1947,Drama,19812,1947-04-24,"Michael Powell, Emeric Pressburger",,
63,tt3721936,2016-10-07,2016-10-07,,American Honey,https://www.imdb.com/title/tt3721936/,movie,7.0,163,2016,"Adventure, Drama, Romance",33472,2016-05-15,Andrea Arnold,,
64,tt5518022,2016-10-09,2016-10-09,,"Houston, We Have a Problem",https://www.imdb.com/title/tt5518022/,movie,7.9,88,2016,"Documentary, Drama",2940,2016-04-16,Ziga Virc,,
65,tt4048272,2016-10-09,2016-10-09,,Toni Erdmann,https://www.imdb.com/title/tt4048272/,movie,7.4,162,2016,"Comedy, Drama",39699,2016-05-14,Maren Ade,,
66,tt4911996,2016-10-12,2016-10-12,,Goldstone,https://www.imdb.com/title/tt4911996/,movie,6.4,110,2016,"Crime, Thriller",3763,2016-06-08,Ivan Sen,,
67,tt4468634,2016-10-13,2016-10-13,,Certain Women,https://www.imdb.com/title/tt4468634/,movie,6.3,107,2016,Drama,10725,2016-01-24,Kelly Reichardt,,
68,tt0088258,2016-10-15,2016-10-15,,This Is Spinal Tap,https://www.imdb.com/title/tt0088258/,movie,7.9,82,1984,"Comedy, Music",122630,1984-03-02,Rob Reiner,,
69,tt0111282,2016-10-23,2016-10-23,,Stargate,https://www.imdb.com/title/tt0111282/,movie,7.1,116,1994,"Action, Adventure, Sci-Fi",168013,1994-10-28,Roland Emmerich,,
70,tt0268380,2016-10-29,2016-10-29,,Ice Age,https://www.imdb.com/title/tt0268380/,movie,7.5,81,2002,"Animation, Adventure, Comedy, Family, Fantasy",414089,2002-03-12,"Chris Wedge, Carlos Saldanha",,
71,tt1351685,2016-11-02,2016-11-02,,Jack the Giant Slayer,https://www.imdb.com/title/tt1351685/,movie,6.2,114,2013,"Adventure, Fantasy",125834,2013-02-27,Bryan Singer,,
72,tt0096463,2016-11-03,2016-11-03,,Working Girl,https://www.imdb.com/title/tt0096463/,movie,6.8,113,1988,"Comedy, Drama, Romance",48783,1988-12-20,Mike Nichols,,
73,tt1211837,2016-11-06,2016-11-06,,Doctor Strange,https://www.imdb.com/title/tt1211837/,movie,7.5,115,2016,"Action, Adventure, Fantasy, Sci-Fi",543997,2016-10-13,Scott Derrickson,,
74,tt2990126,2016-11-08,2016-11-08,,100 Streets,https://www.imdb.com/title/tt2990126/,movie,5.7,93,2016,Drama,3442,2016-06-08,Jim O'Hanlon,,
75,tt5247022,2016-11-12,2016-11-12,,Paterson,https://www.imdb.com/title/tt5247022/,movie,7.4,118,2016,"Comedy, Drama, Romance",58814,2016-05-16,Jim Jarmusch,,
76,tt0090967,2016-11-19,2016-11-19,,Down by Law,https://www.imdb.com/title/tt0090967/,movie,7.8,107,1986,"Comedy, Crime, Drama",44610,1986-05-17,Jim Jarmusch,,
77,tt0104073,2016-11-24,2016-11-24,,Deep Cover,https://www.imdb.com/title/tt0104073/,movie,6.9,107,1992,"Action, Crime, Thriller",8187,1992-04-15,Bill Duke,,
78,tt0120902,2016-11-27,2016-11-27,,The X Files,https://www.imdb.com/title/tt0120902/,movie,7.0,121,1998,"Drama, Mystery, Sci-Fi, Thriller",97081,1998-06-19,Rob Bowman,,
79,tt0061811,2016-11-29,2016-11-29,,In the Heat of the Night,https://www.imdb.com/title/tt0061811/,movie,8.0,110,1967,"Crime, Drama, Mystery, Thriller",62191,1967-08-02,Norman Jewison,,
80,tt0083511,2016-12-09,2016-12-09,,48 Hrs.,https://www.imdb.com/title/tt0083511/,movie,6.9,96,1982,"Action, Comedy, Crime, Drama, Thriller",64503,1982-12-08,Walter Hill,,
81,tt2015381,2016-12-10,2016-12-10,,Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/,movie,8.0,121,2014,"Action, Adventure, Comedy, Sci-Fi",983995,2014-07-21,James Gunn,,
82,tt0096061,2016-12-11,2016-12-11,,Scrooged,https://www.imdb.com/title/tt0096061/,movie,7.0,101,1988,"Comedy, Drama, Fantasy, Romance",79199,1988-11-17,Richard Donner,,
83,tt2085910,2016-12-14,2016-12-14,,Room 237,https://www.imdb.com/title/tt2085910/,movie,6.2,102,2012,Documentary,20042,2012-01-23,Rodney Ascher,,
84,tt0104940,2016-12-20,2016-12-20,,The Muppet Christmas Carol,https://www.imdb.com/title/tt0104940/,movie,7.7,85,1992,"Comedy, Drama, Family, Fantasy, Musical",43750,1992-12-06,Brian Henson,,
85,tt0038650,2016-12-23,2016-12-23,,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,movie,8.6,130,1946,"Drama, Family, Fantasy",368073,1946-12-20,Frank Capra,,
86,tt0086465,2016-12-24,2016-12-24,,Trading Places,https://www.imdb.com/title/tt0086465/,movie,7.5,116,1983,Comedy,126072,1983-06-08,John Landis,,
87,tt3722070,2016-12-25,2016-12-25,,The Lady in the Van,https://www.imdb.com/title/tt3722070/,movie,6.7,104,2015,"Biography, Comedy, Drama",23895,2015-09-12,Nicholas Hytner,,
88,tt2140373,2016-12-26,2016-12-26,,Saving Mr. Banks,https://www.imdb.com/title/tt2140373/,movie,7.5,125,2013,"Biography, Comedy, Drama, Music",143952,2013-10-20,John Lee Hancock,,
89,tt0983193,2016-12-26,2016-12-26,,The Adventures of Tintin,https://www.imdb.com/title/tt0983193/,movie,7.3,107,2011,"Animation, Action, Adventure, Family, Mystery",206052,2011-10-23,Steven Spielberg,,
90,tt5594080,2016-12-30,2016-12-30,,To Walk Invisible: The Brontë Sisters,https://www.imdb.com/title/tt5594080/,tvMovie,7.4,120,2016,"Biography, Drama, History",2014,2016-12-29,Sally Wainwright,,
91,tt0091949,2016-12-31,2016-12-31,,Short Circuit,https://www.imdb.com/title/tt0091949/,movie,6.7,98,1986,"Comedy, Family, Sci-Fi",53478,1986-05-09,John Badham,,
92,tt0098554,2016-12-31,2016-12-31,,Uncle Buck,https://www.imdb.com/title/tt0098554/,movie,7.0,100,1989,Comedy,78135,1989-08-16,John Hughes,,
93,tt0098635,2017-01-01,2017-01-01,,When Harry Met Sally...,https://www.imdb.com/title/tt0098635/,movie,7.6,95,1989,"Comedy, Drama, Romance",181925,1989-07-12,Rob Reiner,,
